,video_title,video_like,video_forward,video_comment,video_user,video_fans,video_whole_like,video_comment_male_rate,video_url,video_comment_female_rate,goods_name,goods_price,goods_money_rate,goods_whole_sale,goods_month_sale,goods_thirty_days_transfer_rate,goods_thirty_days_video_num,goods_thirty_days_recommend_person_num,bgm
214,吃过这个的全网不超过10人,17,0,0,灯光渔夫海鲜渔船直发,25.9w,87.1w,男 %,https://www.iesdouyin.com/share/video/6851008063147658496/?region=CN&mid=6701144548430727940&u_code=2djli25a2434&titleType=title,% 女,主播推荐-广东原条生晒海带2斤约8-11条SF包邮,¥19.90,1.00%,"2,835","2,690",8.86%,11,11,夜空中最亮的星 - 小果酱
215,一条视频没🔥过，但是心态倒是挺好,23,0,0,灯光渔夫海鲜渔船直发,25.9w,87.1w,男 %,,% 女,主播推荐-广东原条生晒海带2斤约8-11条SF包邮,¥19.90,1.00%,"2,835","2,690",8.86%,11,11,okok嗒呤 - 是耀温顺
216,夏天就是要舒舒服服的感觉..,14w,444,"6,121",草稿箱,188.1w,"2,631.8w",男 32.89%,https://www.iesdouyin.com/share/video/6848499625922415887/?region=CN&mid=6644458162399218439&u_code=0&titleType=title,67.11% 女,自然旋律氨基酸洗面奶温和洁面乳面部深层清洁控油学生专用男女孩,¥29.90,30.00%,8万,4.3万,2.72%,126,126,爱出发 - TFBOYS
217,好好护肤从认真洗脸开始！#自然旋律 #洗面奶 #学生党 #平价洗面奶,3.3w,259,867,乔妹,"9,165",17.4w,男 17.65%,https://www.iesdouyin.com/share/video/6845101554404445447/?region=CN&mid=6720064494267009800&u_code=0&titleType=title,82.35% 女,自然旋律氨基酸洗面奶温和洁面乳面部深层清洁控油学生专用男女孩,¥29.90,30.00%,8万,4.3万,2.72%,126,126,爱的飞行日记 (片段) - 华语群星
218,#氨基酸洗面奶 #日夜cp组合 #学生党平价 颜控走不动路辽～ 精致女孩的一天从好好洗脸开始～,"4,239",165,216,柔软味少女_,4.6w,73.7w,男 41.18%,https://www.iesdouyin.com/share/video/6845948597159169294/?region=CN&mid=6621333707418667780&u_code=0&titleType=title,58.82% 女,自然旋律氨基酸洗面奶温和洁面乳面部深层清洁控油学生专用男女孩,¥29.90,30.00%,8万,4.3万,2.72%,126,126,啦啦啦 - 小可乐
219,你们要的平价洗面奶来了~这个洗面奶真的好用#自然旋律洗面奶 #平价洗面奶,"1,942",25,206,夏洛✨✨,2.2w,29.9w,男 12.90%,https://www.iesdouyin.com/share/video/6848031507110448398/?region=CN&mid=6777644121537448718&u_code=0&titleType=title,87.10% 女,自然旋律氨基酸洗面奶温和洁面乳面部深层清洁控油学生专用男女孩,¥29.90,30.00%,8万,4.3万,2.72%,126,126,Stan (热播版) - 歌者林念
220,想要好好护肤从认真洗脸开始哦～#平价洗面奶 平价又好用，你的洗面奶分早晚吗？#自然旋律洗面奶,"1,960",60,79,小尼ki ki,"5,016",5.7w,男 13.11%,https://www.iesdouyin.com/share/video/6849553168456600847/?region=CN&mid=6849553191697533710&u_code=0&titleType=title,86.89% 女,自然旋律氨基酸洗面奶温和洁面乳面部深层清洁控油学生专用男女孩,¥29.90,30.00%,8万,4.3万,2.72%,126,126,小公主 - 蒋蒋
221,水润和思想同样有深度,1.3w,22,393,王子正,37.8w,449.4w,男 4.55%,https://www.iesdouyin.com/share/video/6848128172437802253/?region=CN&mid=6751320434718851086&u_code=0&titleType=title,95.45% 女,自然旋律氨基酸洗面奶温和洁面乳面部深层清洁控油学生专用男女孩,¥29.90,30.00%,8万,4.3万,2.72%,126,126,Pretty Girl - Clairo
222,这个洗面奶是真的好用呀～#平价洗面奶,"2,078",23,133,云朵有点甜呀💭,1.2w,21.1w,男 55.56%,https://www.iesdouyin.com/share/video/6846315347205688590/?region=CN&mid=6839386102118238221&u_code=0&titleType=title,44.44% 女,自然旋律氨基酸洗面奶温和洁面乳面部深层清洁控油学生专用男女孩,¥29.90,30.00%,8万,4.3万,2.72%,126,126,你懂得 - 未知
223,洗脸是护肤的第一步 猪猪们 精致起来#预定下半年快乐 #solo出道谁最nata #洁面,"1,195",7,52,贝塔的礼物,"1,968",2.9w,男 18.18%,https://www.iesdouyin.com/share/video/6845171189510425863/?region=CN&mid=6845171208821230344&u_code=0&titleType=title,81.82% 女,自然旋律氨基酸洗面奶温和洁面乳面部深层清洁控油学生专用男女孩,¥29.90,30.00%,8万,4.3万,2.72%,126,126,波妞要和宗介在一起 (Live) - 网络歌手
224,一款时尚又减龄的Polo领粉裙也太好看了！#她家衣服真好 #穿搭 #正在直播中请点头像进 #种草,246,4,6,常熟市服装城三姐妹服装店,92.6w,294.9w,男 40.00%,https://www.iesdouyin.com/share/video/6851922259334958347/?region=CN&mid=6848966594975779598&u_code=2426lj28j59i&titleType=title,60.00% 女,【玉熙宇】刺绣polo衫式连衣裙（M~3XL，85~160斤）,¥55.00,0.00%,"3,670","3,023",5.00%,7,7,爸爸妈妈 (片段) - 李飘飘
225,新款Polo领强势来袭、6点直播间快来抢购吧#她家衣服真好 @种草 @DOU+小助理#正在直播中请点头像进,377,7,24,常熟市服装城三姐妹服装店,92.6w,294.9w,男 18.18%,https://www.iesdouyin.com/share/video/6851738456851320075/?region=CN&mid=6719804599194323726&u_code=0&titleType=title,81.82% 女,【玉熙宇】刺绣polo衫式连衣裙（M~3XL，85~160斤）,¥55.00,0.00%,"3,670","3,023",5.00%,7,7,Masih Mencintainya (片段) - Papinka
226,#她家衣服真好 新款Polo领强势来袭、6点直播间快来抢购吧@种草 @DOU+小助理,"3,165",140,162,常熟市服装城三姐妹服装店,92.6w,294.9w,男 19.57%,https://www.iesdouyin.com/share/video/6851570028165254403/?region=CN&mid=6835918285587286792&u_code=4035il67j4c7&titleType=title,80.43% 女,【玉熙宇】刺绣polo衫式连衣裙（M~3XL，85~160斤）,¥55.00,0.00%,"3,670","3,023",5.00%,7,7,后会无期 + 情歌王 (DJ版) - 嘉琪先生
227,仿妆 #blackpink回归 能看出来吗（虽然是个眼线教程）,17.7w,"5,516","7,815",李卡农🌼,35.3w,288.7w,男 2.33%,https://www.iesdouyin.com/share/video/6841844489808563456/?region=CN&mid=6826239422439344904&u_code=0&titleType=title,97.67% 女,小奥汀眼线液笔 彩色防水不晕染持久棕色极细新手初学者胶笔奥丁,¥59.00,6.01%,26.4万,6.6万,3.31%,300,300,MAMAMOO-WIND FLOWER（AKEN Remix） - AKEN
