,video_title,video_like,video_forward,video_comment,video_user,video_fans,video_whole_like,video_comment_male_rate,video_url,video_comment_female_rate,goods_name,goods_price,goods_money_rate,goods_whole_sale,goods_month_sale,goods_thirty_days_transfer_rate,goods_thirty_days_video_num,goods_thirty_days_recommend_person_num,bgm
0,气质这一块，三妹没服过谁！我会告诉你，有了这个水杯，我的饮水量是平时的2倍？#超大水杯,1.3w,398,486,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 9.38%,https://www.iesdouyin.com/share/video/6851567104936774912/?region=CN&mid=6835216116088834055&u_code=2djli2cd0k9l&titleType=title,90.63% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,漂洋过海来看你 (DJ訫明) - DJ
1,爬个山，旅个游带上她，难道不香吗？#超大水杯 @DOU+小助手,920,31,32,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 5.56%,https://www.iesdouyin.com/share/video/6851955904649121024/?region=CN&mid=6851955895828482830&u_code=0&titleType=title,94.44% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,星月糖 (片段) - 黎林添娇
2,这个水杯很哇塞！不服来辩#超大水杯 @DOU+小助手,418,10,22,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 12.50%,https://www.iesdouyin.com/share/video/6851944582175935759/?region=CN&mid=6851944594398448392&u_code=0&titleType=title,87.50% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,New Project Vol.3 - DJ
3,一个让人感动的杯子，不服来辩#超大水杯 @DOU+小助手,728,27,35,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 10.71%,https://www.iesdouyin.com/share/video/6851931175955500303/?region=CN&mid=6851931195509738254&u_code=0&titleType=title,89.29% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,卜卦 (咚鼓版) - 小猫多鱼
4,劳工什么的都无所谓，水杯没丢就行！#夫妻 @DOU+小助手,308,4,12,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 10.00%,https://www.iesdouyin.com/share/video/6851913142037908736/?region=CN&mid=6851913861567007496&u_code=0&titleType=title,90.00% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,牛在飞 - 张冬玲
5,这十六年来，苦过，累过，哭过，笑过，但我从未口渴过！#超大水杯 @DOU+小助手,252,7,16,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 38.46%,https://www.iesdouyin.com/share/video/6851902945848610063/?region=CN&mid=6851902963399215885&u_code=0&titleType=title,61.54% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,你的答案 - 阿冗
6,没错，我就是那个杯子，隔壁老王用了后饮水量是平时的3倍，连闺蜜静静都深层补水了呢！#超大水杯 @DOU+小助手,13.2w,"1,989","4,907",和谐三妹严选（大牌直播月）,19.6w,32.4w,男 10.43%,https://www.iesdouyin.com/share/video/6851874583318908171/?region=CN&mid=6851874623278107406&u_code=0&titleType=title,89.57% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,Back In Black - AC/DC
7,这个杯子，很哇塞！#超大水杯 @DOU+小助手,840,28,33,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 6.25%,https://www.iesdouyin.com/share/video/6851934597094067456/?region=CN&mid=6851934597619059464&u_code=0&titleType=title,93.75% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,口水说唱上头旋律 (Remix) - 寐加岛
8,超顺滑的,170,2,5,奋斗的茜姐姐😊,6.2w,22.1w,男 25.00%,https://www.iesdouyin.com/share/video/6849880191188225287/?region=CN&mid=6849880206321568525&u_code=2kf5297ik08g&titleType=title,75.00% 女,滑溜溜发膜,¥19.90,0.00%,3.9万,3.8万,15.16%,20,20,雨中的恋人们 (Live片段) - XIN
9,很好用的一款发膜，代替护发素哦,15,0,0,不一样的旅途,8.2w,34.7w,男 100.00%,https://www.iesdouyin.com/share/video/6849035259422543111/?region=CN&mid=6849035141147347725&u_code=44ifkmg7fhel&titleType=title,0.00% 女,滑溜溜发膜,¥19.90,0.00%,3.9万,3.8万,15.16%,20,20,蓝色海黑色河 (DJ版) - 69
10,#@抖音小助手,29,0,0,茜姐姐🌼选好物👄,2w,8.5w,男 %,https://www.iesdouyin.com/share/video/6848289296839970052/?region=CN&mid=6848289532765375240&u_code=0&titleType=title,% 女,滑溜溜发膜,¥19.90,0.00%,3.9万,3.8万,15.16%,20,20,挥着翅膀的女孩 - 王喆
11,头发分叉，干枯毛躁都可以用的哦！#申请上热门 #护发,7,0,0,茜姐姐🌼选好物👄,2w,8.5w,男 %,https://www.iesdouyin.com/share/video/6848165962185788675/?region=CN&mid=6848165999158496008&u_code=0&titleType=title,% 女,滑溜溜发膜,¥19.90,0.00%,3.9万,3.8万,15.16%,20,20,失恋阵线联盟 - 草蜢
12,嘎嘎柔顺，嘎嘎好,46,0,0,不一样的旅途,8.2w,34.7w,男 %,https://www.iesdouyin.com/share/video/6851625989328440590/?region=CN&mid=6851626076687436558&u_code=19fjb8jbkag7&titleType=title,% 女,滑溜溜发膜,¥19.90,0.00%,3.9万,3.8万,15.16%,20,20,妈妈我想你 - 汤潮
13,给你们康康，我的仙女气质是怎么被带偏的 哈哈哈哈哈哈@DOU+小助手,2.5w,"1,645","2,095",小丸子呀,"5,161",3.7w,男 17.04%,https://www.iesdouyin.com/share/video/6851075755724573952/?region=CN&mid=6851075979561929483&u_code=294bfk40id4g&titleType=title,82.96% 女,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,¥59.00,1.00%,2.1万,2万,1.93%,72,72,惊雷 (改编版片段) - 网络歌手
14,当沙雕鸭子遇到另外一只鸭子时、#沙雕复读鸭 另外那只鸭子的反应惊了。,"2,131",43,94,张小维,1.1w,15.3w,男 25.00%,https://www.iesdouyin.com/share/video/6851463894242692352/?region=CN&mid=6851463904812714759&u_code=2gj76me4agk5&titleType=title,75.00% 女,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,¥59.00,1.00%,2.1万,2万,1.93%,72,72,糸くり - rikki
15,现学现卖的rap高手哈哈哈，我服了…#复读鸭#717奇妙好物在这里#沙雕玩具@DOU+小助手,"1,266",68,224,爱吃可爱多的多多（16:00点开播）,"1,885",2.9w,男 9.43%,https://www.iesdouyin.com/share/video/6850377379433499915/?region=CN&mid=6850377751887612680&u_code=0&titleType=title,90.57% 女,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,¥59.00,1.00%,2.1万,2万,1.93%,72,72,官方回答 - O.WEN
16,现学现卖的rap高手哈哈哈，我服了！,"5,259",278,478,爱吃可爱多的多多（16:00点开播）,"1,885",2.9w,男 36.25%,https://www.iesdouyin.com/share/video/6851383351002025228/?region=CN&mid=6851383667458050829&u_code=51mcj31935a&titleType=title,63.75% 女,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,¥59.00,1.00%,2.1万,2万,1.93%,72,72,官方回答 - O.WEN
17,#沙雕复读鸭 当复读鸭看着（官方回答 ）不是所有的鸭纸都会RAP...#玩具@DOU+小助手,"1,349",183,56,张小维,1.1w,15.3w,男 33.33%,https://www.iesdouyin.com/share/video/6851490821141826816/?region=CN&mid=6851490843778435847&u_code=0&titleType=title,66.67% 女,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,¥59.00,1.00%,2.1万,2万,1.93%,72,72,官方回答 - O.WEN
18,这次衣哥助力炎陵黄桃所产生的收益全部捐给希望小学！尽绵薄之力 #衣哥,7.5w,400,"5,317",衣哥,"1,020.4w","8,194.2w",男 75.99%,https://www.iesdouyin.com/share/video/6851908065814531341/?region=CN&mid=6851908209314499335&u_code=10hglhd7dmdd&titleType=title,24.01% 女,正宗湖南炎陵黄桃锦绣黄桃5斤礼盒装包邮,¥66.00,1.00%,1.6万,1.3万,1.69%,2,2,辐射 - 邵彦棚
19,脖子僵硬，头昏脑胀快给你的颈椎放个假吧！#颈椎 #锻炼 #健康,1.9w,"3,329",237,七月阳光,9.2w,14.8w,男 30.70%,https://www.iesdouyin.com/share/video/6851436874267970816/?region=CN&mid=6832132175781971981&u_code=2m86fka0i3bl&titleType=title,69.30% 女,凡措夹脖子手动按摩夹颈椎按摩器,¥22.80,40.00%,"9,382","9,244",9.65%,2,2,Into the Pavement (Frederik Olufsen Remix) - Turboweekend
20,#好物推荐 #发绳 #小饰品 #相思 #摆摊创业 红豆发绳50根9.9米包到家了，@抖音小助手,44,0,3,义乌魅影贸易有限公司,9.7w,10.9w,男 0.00%,https://www.iesdouyin.com/share/video/6851002288383839496/?region=CN&mid=6647673641704098564&u_code=dd7adm9k0j2&titleType=title,100.00% 女,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,¥9.90,0.00%,2.9万,2.9万,12.04%,27,27,相思 - 紫凌孤君
21,#发绳 #发夹 #发圈 #717抖音奇妙好物市集 #抖音秒杀狂欢节 #带货达人 你们要的组合来了,61,1,5,义乌魅影贸易有限公司,9.7w,10.9w,男 20.00%,https://www.iesdouyin.com/share/video/6849202239228087565/?region=CN&mid=6582814577036282638&u_code=2egb1el124mi&titleType=title,80.00% 女,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,¥9.90,0.00%,2.9万,2.9万,12.04%,27,27,我已经爱上你 (正式版) - 刘旭阳
22,#好物推荐 #发绳 #抖音秒杀狂欢节 #女神发带 不卖爆不下播@义乌魅影贸易有限公司 @企业号小助手,20,0,0,义乌市楚倩饰品,4.1w,1.5w,男 %,https://www.iesdouyin.com/share/video/6846330600614317319/?region=CN&mid=6647673641704098564&u_code=0&titleType=title,% 女,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,¥9.90,0.00%,2.9万,2.9万,12.04%,27,27,相思 - 紫凌孤君
23,质量不错，9.8三条女童打底裤,13,0,0,我是小微✌,"1,987",1.6w,男 %,https://www.iesdouyin.com/share/video/6851424800980749568/?region=CN&mid=6847054440503970574&u_code=0&titleType=title,% 女,儿童连裤袜春秋女童打底裤薄款丝袜子白色夏季练功跳舞专用舞蹈袜,¥9.80,25.00%,13.4万,"9,237",26.71%,5,5,你是我拒绝别人的理由 - 赵霏儿
24,买上衣送裤子，心动了吗？,"4,085",140,276,常熟思韩服饰,15.6w,35.3w,男 14.29%,https://www.iesdouyin.com/share/video/6846970790991236352/?region=CN&mid=6823745381680023565&u_code=0&titleType=title,85.71% 女,（韩欧飞）夏季新款彩色字母T 拍一发二(上衣+打底裤）,¥59.00,0.00%,2.2万,2.1万,4.31%,157,157,我爱你不问归期 (片段) - 白小白
25,新款印花T恤太显瘦了，洋气百搭@DOU+小助手,96,5,2,常熟思韩服饰,15.6w,35.3w,男 0.00%,https://www.iesdouyin.com/share/video/6851239196217068815/?region=CN&mid=6607043529371814660&u_code=1hh9h7bif6mg&titleType=title,100.00% 女,（韩欧飞）夏季新款彩色字母T 拍一发二(上衣+打底裤）,¥59.00,0.00%,2.2万,2.1万,4.31%,157,157,流年兮 - 夏喘喘
26,太喜欢小姐姐身上这套衣服了，洋气百搭又显瘦，拍一发二好划算#717奇妙好物在这里 @DOU+小助手,58,3,1,常熟思韩服饰,15.6w,35.3w,男 0.00%,https://www.iesdouyin.com/share/video/6850746965513342223/?region=CN&mid=6771231042800977933&u_code=39cg3l6jb1hf&titleType=title,100.00% 女,（韩欧飞）夏季新款彩色字母T 拍一发二(上衣+打底裤）,¥59.00,0.00%,2.2万,2.1万,4.31%,157,157,我爱的人 - 小曼
27,这个气垫很好用，视频里小黄车下单59米包邮,7.3w,"1,615","7,875",混血王子卢卡斯（曦卡商贸）,130.6w,"1,862.3w",男 5.24%,https://www.iesdouyin.com/share/video/6851533200297086220/?region=CN&mid=6851533247734631182&u_code=47i1a03h5k7h&titleType=title,94.76% 女,U.YI蘑菇气垫滋养霜,¥59.00,0.00%,2.8万,2.6万,11.25%,1,1,Klamydia Umpitunnelissa - Klamydia
28,雪纺防晒披肩9个花色可做头巾披肩围巾开车骑车都很方便哦只要9.9米哦#夏季夏季必备品 #显瘦穿搭 #防晒,2,0,0,潭岭电子商务,"4,951",1.8w,男 %,https://www.iesdouyin.com/share/video/6849295635334597899/?region=CN&mid=6822654412289313543&u_code=0&titleType=title,% 女,夏季雪纺衫防晒披肩（48 之内发出）,¥11.80,0.00%,"8,691","8,161",8.92%,26,26,真的不容易 - 庄心妍
29,#防晒 #夏季夏季必备品 #717奇妙好物在这里 #solo出道谁最nata #求热门,4,0,0,潭岭电子商务,"4,951",1.8w,男 %,https://www.iesdouyin.com/share/video/6850917784797383947/?region=CN&mid=6822654412289313543&u_code=0&titleType=title,% 女,夏季雪纺衫防晒披肩（48 之内发出）,¥11.80,0.00%,"8,691","8,161",8.92%,26,26,真的不容易 - 庄心妍
30,穿背心和短袖出门带上这款防晒披肩，太阳大也不怕晒啦#好物推荐 #防晒 #披肩 #热门,9,1,0,潭岭电子商务,"4,951",1.8w,男 %,https://www.iesdouyin.com/share/video/6852053423882243339/?region=CN&mid=6822654412289313543&u_code=0&titleType=title,% 女,夏季雪纺衫防晒披肩（48 之内发出）,¥11.80,0.00%,"8,691","8,161",8.92%,26,26,真的不容易 - 庄心妍
31,#solo出道谁最nata #披肩 #717奇妙好物在这里 #热门 #我为浙江代言 #防晒,29,4,1,潭岭电子商务,"4,951",1.8w,男 %,https://www.iesdouyin.com/share/video/6851664045888507147/?region=CN&mid=6822654412289313543&u_code=0&titleType=title,% 女,夏季雪纺衫防晒披肩（48 之内发出）,¥11.80,0.00%,"8,691","8,161",8.92%,26,26,真的不容易 - 庄心妍
32,雪纺防晒披肩，开车骑车都很方便还可以当外套穿#solo出道谁最nata #717奇妙好物在这里 #披肩 #防晒,202,7,8,潭岭电子商务,"4,951",1.8w,男 %,https://www.iesdouyin.com/share/video/6851805854279257348/?region=CN&mid=6822654412289313543&u_code=0&titleType=title,% 女,夏季雪纺衫防晒披肩（48 之内发出）,¥11.80,0.00%,"8,691","8,161",8.92%,26,26,真的不容易 - 庄心妍
33,#solo出道谁最nata #披肩 #防晒 #热门,3,2,0,潭岭电子商务,"4,951",1.8w,男 %,https://www.iesdouyin.com/share/video/6851131673027923211/?region=CN&mid=6851131866443991821&u_code=0&titleType=title,% 女,夏季雪纺衫防晒披肩（48 之内发出）,¥11.80,0.00%,"8,691","8,161",8.92%,26,26,真的不容易 - 庄心妍
34,回力式按压小黄鸡#小黄鸭#玩具 #玩具车 #DOU上热门 #好物推荐 #安排,269,1,11,爱萌商贸有限公司,14.7w,51.8w,男 14.29%,https://www.iesdouyin.com/share/video/6848969604220472584/?region=CN&mid=6848969691982007054&u_code=2llc0l12gh7l&titleType=title,85.71% 女,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,¥7.90,0.00%,"8,370","8,142",10.16%,16,16,小黄鸭 (DJ版) - 山河、唐总
35,益趣能让孩子发挥想象的小鸭车#玩具 #儿童玩具 #小车 #电商小助手 #上热门,54,0,1,爱萌商贸有限公司,14.7w,51.8w,男 100.00%,https://www.iesdouyin.com/share/video/6849954778047450381/?region=CN&mid=6849954889909422862&u_code=j7274dgbi5&titleType=title,0.00% 女,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,¥7.90,0.00%,"8,370","8,142",10.16%,16,16,军训歌 - 萌萌哒天团
36,特好玩的按压式小黄鸭#玩具 #益智玩具 #儿童玩具 #玩具车 #好物推荐,23,0,1,爱萌商贸有限公司,14.7w,51.8w,男 100.00%,https://www.iesdouyin.com/share/video/6850699090112695566/?region=CN&mid=6850699235587902215&u_code=1cf503agl3m3&titleType=title,0.00% 女,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,¥7.90,0.00%,"8,370","8,142",10.16%,16,16,布谷鸟 - 安子与九妹
37,奔跑吧，小鸡#玩具车 #玩具 #好物推荐 #DOU上热门 #上热门,32,0,1,爱萌商贸有限公司,14.7w,51.8w,男 %,https://www.iesdouyin.com/share/video/6849163485507620104/?region=CN&mid=6849163591628032781&u_code=3ikd889f1l69&titleType=title,% 女,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,¥7.90,0.00%,"8,370","8,142",10.16%,16,16,最火小黄鸭 - 沈梦逸
38,老板眼神不好明明是鸡缺说是鸭#玩具 #儿童玩具 #玩具车 #好物推荐 #上热门,16,0,1,爱萌商贸有限公司,14.7w,51.8w,男 100.00%,https://www.iesdouyin.com/share/video/6850086191161822472/?region=CN&mid=6850086381939919623&u_code=44ifl02lfdhe&titleType=title,0.00% 女,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,¥7.90,0.00%,"8,370","8,142",10.16%,16,16,Romeo's Tune - Pajaro Sunrise
39,走带着我的小鸭车队逛街去#玩具车 #玩具#DOU上热门 #儿童玩具 #电商小助手,42,1,1,爱萌商贸有限公司,14.7w,51.8w,男 100.00%,https://www.iesdouyin.com/share/video/6850796708754984200/?region=CN&mid=6850796810338716424&u_code=2jifija6b0cc&titleType=title,0.00% 女,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,¥7.90,0.00%,"8,370","8,142",10.16%,16,16,布谷鸟 - 安子与九妹
40,实体可以这么还价吗？会被轰出来不？ #717抖音奇妙好物市集 #马克笔@DOU+小助手,18.2w,636,"2,581",小玲优选,7.1w,34.1w,男 10.38%,https://www.iesdouyin.com/share/video/6849965419839737095/?region=CN&mid=6849965855602690829&u_code=0&titleType=title,89.62% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,鬼火の童・鬼切、虎徹にございます! - 増田俊郎
41,现在都是这么还价的吗？#717抖音奇妙好物市集 #马克笔 # 宝妈,2.6w,197,195,小玲优选,7.1w,34.1w,男 6.67%,https://www.iesdouyin.com/share/video/6850399758578699534/?region=CN&mid=6850399858491132680&u_code=0&titleType=title,93.33% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,鬼火の童・鬼切、虎徹にございます! - 増田俊郎
42,来来来，给我来两包 #717抖音奇妙好物市集 #马克笔 #宝妈@DOU+小助手,1.2w,60,122,小玲优选,7.1w,34.1w,男 2.13%,https://www.iesdouyin.com/share/video/6849520648809696525/?region=CN&mid=6849520724034538253&u_code=jlj341h53dc&titleType=title,97.87% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,鬼火の童・鬼切、虎徹にございます! - 増田俊郎
43,这世道太好商量也是一个错！# 马克笔 #宝妈 #717奇妙好物在这里,1.1w,31,120,小玲优选,7.1w,34.1w,男 4.76%,https://www.iesdouyin.com/share/video/6851475692975131911/?region=CN&mid=6851475793869114119&u_code=m1f897kci49&titleType=title,95.24% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,布谷鸟 - 未知
44,现在的商家都封了吗？ #717抖音奇妙好物市集 #马克笔 #好物推荐,"5,939",21,65,小玲优选,7.1w,34.1w,男 38.89%,https://www.iesdouyin.com/share/video/6851411310807108872/?region=CN&mid=6851411409008724744&u_code=3clj7h6l68il&titleType=title,61.11% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,布谷鸟 - 拂桑
45,你们买东西会一半一半砍吗？ #马克笔 #717抖音奇妙好物市集 #好物推荐,"5,180",40,52,小玲优选,7.1w,34.1w,男 33.33%,https://www.iesdouyin.com/share/video/6851127414827928846/?region=CN&mid=6851127508990036750&u_code=212l9l8hf6ja&titleType=title,66.67% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,鬼火の童・鬼切、虎徹にございます! - 増田俊郎
46,你这人怎么不按套路出牌 #717抖音奇妙好物市集 #马克笔 #好物推荐,"6,487",30,96,小玲优选,7.1w,34.1w,男 18.75%,https://www.iesdouyin.com/share/video/6851080038616501511/?region=CN&mid=6851080157558475534&u_code=dd7ae7a9jc9&titleType=title,81.25% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,布谷鸟 - 未知
47,呦！会还价了呀！ #717抖音奇妙好物市集 #马克笔 #好物推荐,486,1,3,小玲优选,7.1w,34.1w,男 0.00%,https://www.iesdouyin.com/share/video/6851443906098236686/?region=CN&mid=6851444010913925901&u_code=0&titleType=title,100.00% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,鬼火の童・鬼切、虎徹にございます! - 増田俊郎
48,小哥哥们正在努力打包发货中...宝宝们坐等收货哦 #马克笔,230,0,12,小玲优选,7.1w,34.1w,男 18.18%,https://www.iesdouyin.com/share/video/6850345054494608654/?region=CN&mid=6850345167036779278&u_code=0&titleType=title,81.82% 女,儿童马克笔套装 48色双头油性绘画笔,¥26.90,0.00%,2.8万,2.6万,2.77%,13,13,旧梦一场 - 小
49,生个女儿吧，可甜可盐的那种，给她打扮的漂漂亮亮的，到哪都能吸引别人羡慕的眼光#我要上热门#女童旗袍#女童#童装,10.7w,"5,487","5,428",萌小象童装,5.2w,11.5w,男 50.48%,https://www.iesdouyin.com/share/video/6850795873614515456/?region=CN&mid=6848750854716132103&u_code=0&titleType=title,49.52% 女,萌小象-芭拉豆丁旗袍包包连衣裙,¥45.00,0.00%,2.2万,2万,4.95%,8,8,爱江山更爱美人 (Live) - 小阿枫
50,生个女儿吧，可甜可盐的那种，给她打扮的漂漂亮亮的，到哪都能吸引别人羡慕的眼光#717奇妙好物在这里#女童旗袍,662,34,111,萌小象童装,5.2w,11.5w,男 13.51%,https://www.iesdouyin.com/share/video/6849689319184125199/?region=CN&mid=6827795124127861518&u_code=0&titleType=title,86.49% 女,萌小象-芭拉豆丁旗袍包包连衣裙,¥45.00,0.00%,2.2万,2万,4.95%,8,8,爱江山更爱美人 (Live) - 小阿枫
51,不要因为5分钟的不开心，而耽误你23时55分的开心，生气是拿别人的错误惩罚自己#717奇妙好物在这里#女童,102,10,5,萌小象童装,5.2w,11.5w,男 33.33%,https://www.iesdouyin.com/share/video/6850247845447077135/?region=CN&mid=6848750854716132103&u_code=0&titleType=title,66.67% 女,萌小象-芭拉豆丁旗袍包包连衣裙,¥45.00,0.00%,2.2万,2万,4.95%,8,8,爱江山更爱美人 (Live) - 小阿枫
52,女儿就是用来宠的，赶紧生个女儿吧，给生活加点甜，包包旗袍安排一下#骗你生女儿 #女童 #女童旗袍#我要上热门,37,2,1,萌小象童装,5.2w,11.5w,男 %,https://www.iesdouyin.com/share/video/6849139819876994319/?region=CN&mid=6817761270272362509&u_code=24lj57j6cdj4&titleType=title,% 女,萌小象-芭拉豆丁旗袍包包连衣裙,¥45.00,0.00%,2.2万,2万,4.95%,8,8,赤伶 - 等什么君
53,对孩子最好的爱是陪在她们的身边，看着，陪着她成长，童年只有一次，请好好呵护她们#宝妈#童装 #女童旗袍#上热门,28,4,4,萌小象童装,5.2w,11.5w,男 %,https://www.iesdouyin.com/share/video/6851927847104269568/?region=CN&mid=6848750854716132103&u_code=0&titleType=title,% 女,萌小象-芭拉豆丁旗袍包包连衣裙,¥45.00,0.00%,2.2万,2万,4.95%,8,8,爱江山更爱美人 (Live) - 小阿枫
54,老人总说孩子长的快，少买衣服，童年就那么几年，难道像我们这样的年纪在装可爱吗#我要上热门 #女童旗袍 #童装,14,0,0,萌小象童装,5.2w,11.5w,男 %,https://www.iesdouyin.com/share/video/6848028384786795791/?region=CN&mid=6727819676476246788&u_code=10hgl4ifdjj2&titleType=title,% 女,萌小象-芭拉豆丁旗袍包包连衣裙,¥45.00,0.00%,2.2万,2万,4.95%,8,8,莫问归期 - 蒋雪儿
55,不要因为5分钟的不开心，而耽误你23小时55分钟的开心，生气是拿别人的错误惩罚自己#骗你生女儿 #女童 #旗袍,793,2,25,萌小象童装,5.2w,11.5w,男 0.00%,https://www.iesdouyin.com/share/video/6846164976797781248/?region=CN&mid=6817761270272362509&u_code=34k60kb7d7il&titleType=title,100.00% 女,萌小象-芭拉豆丁旗袍包包连衣裙,¥45.00,0.00%,2.2万,2万,4.95%,8,8,赤伶 - 等什么君
56,当你无法从一楼蹦到三楼时，不要忘记走楼梯。要记住伟大的成功往往不是一蹴而就的。#宝妈 #汉元素 #骗你生女儿,7,0,1,萌小象童装,5.2w,11.5w,男 %,,% 女,萌小象-芭拉豆丁旗袍包包连衣裙,¥45.00,0.00%,2.2万,2万,4.95%,8,8,赤伶 - 等什么君
57,四川攀枝花凯特大芒果🥭成熟了，喜欢的朋友可以支持一下吗？@抖音小助手,10,0,2,甘溪镇一口果水果经营部,14.3w,95.7w,男 100.00%,,0.00% 女,[坏果包赔]-香甜可口攀枝花凯特大脸芒-9斤/5斤果重350-800克,¥22.90,0.00%,1.4万,1.3万,7.87%,36,36,赤伶 - 等什么君
58,我录制了 @甘溪镇一口果水果经营部 的直播,75,2,12,甘溪镇一口果水果经营部,14.3w,95.7w,男 50.00%,https://www.iesdouyin.com/share/video/6851770538134736135/?region=CN&mid=6851770545973889806&u_code=0&titleType=title,50.00% 女,[坏果包赔]-香甜可口攀枝花凯特大脸芒-9斤/5斤果重350-800克,¥22.90,0.00%,1.4万,1.3万,7.87%,36,36,Indian Summer (OriginalMix) - Candido
59,#717奇妙好物在这里 9.9既然还有人说贵了。我也是醉了，这是要花农破产吗 @DOU+小助手，@抖音小助手,"6,297",139,552,曼中田,3.5w,3.8w,男 60.38%,https://www.iesdouyin.com/share/video/6850345093421960459/?region=CN&mid=6850345128201046798&u_code=0&titleType=title,39.62% 女,大小绿萝室内四季长垂藤吸甲醛净化空气吊兰水养花卉植物盆栽绿箩,¥9.90,0.00%,1.8万,1.6万,10.32%,16,16,3Film Festival ~Consultation~ - 緑川光
60,#上热门 周末放送一下心情。绿萝基地拍摄了一段。喜欢的给我点个赞哦。@DOU+小助手 @抖音小助手,176,1,8,曼中田,3.5w,3.8w,男 75.00%,https://www.iesdouyin.com/share/video/6848806244816260365/?region=CN&mid=6848806254442236679&u_code=0&titleType=title,25.00% 女,大小绿萝室内四季长垂藤吸甲醛净化空气吊兰水养花卉植物盆栽绿箩,¥9.90,0.00%,1.8万,1.6万,10.32%,16,16,布谷鸟 - 安子与九妹
61,#花卉绿植 种绿萝很苦，但是有你做我坚强的后盾。再苦再累，我还是很开心。@DOU+小助手 @抖音小助手,89,0,9,曼中田,3.5w,3.8w,男 33.33%,https://www.iesdouyin.com/share/video/6848572757727350024/?region=CN&mid=6848572780418583310&u_code=0&titleType=title,66.67% 女,大小绿萝室内四季长垂藤吸甲醛净化空气吊兰水养花卉植物盆栽绿箩,¥9.90,0.00%,1.8万,1.6万,10.32%,16,16,布谷鸟 - 安子与九妹
62,#花卉绿植 今天这句靓仔不叫。估计这单绿萝还卖不出去了。看来以后靓仔靓女要挂嘴边@DOU+小助手 @抖音小助手,492,3,14,曼中田,3.5w,3.8w,男 57.14%,https://www.iesdouyin.com/share/video/6847775282166811917/?region=CN&mid=6847775522676935438&u_code=0&titleType=title,42.86% 女,大小绿萝室内四季长垂藤吸甲醛净化空气吊兰水养花卉植物盆栽绿箩,¥9.90,0.00%,1.8万,1.6万,10.32%,16,16,布谷鸟 - 安子与九妹
